Differential gene expression analysis between FOXP3high vs. FOXP3low samples										
geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	siggenes3	siggenes1	siggenes2	siggenes4
RGPD1	-0.649927471	1.735355902	-2.145718334	0.036593794	0.129290019	-3.807786611	NA	not_sig	NA	other
UCP2	0.649915663	5.390419067	2.641426827	0.010883509	0.060429888	-3.022036441	NA	not_sig	NA	other
ITGA11	0.649522981	3.780947259	1.541994364	0.129151017	0.292052182	-4.940305863	NA	not_sig	NA	other
AEBP1	0.649201766	8.204781463	3.97549427	2.18E-04	0.006681767	0.503969974	NA	FOXP3_high	AEBP1	other
TIMD4	-0.64891133	1.594722891	-1.734629155	0.088742767	0.230960468	-4.502136417	NA	not_sig	NA	other
DDAH1	0.648443273	3.636611172	3.940800886	2.44E-04	0.00697331	0.444849176	NA	FOXP3_high	DDAH1	other
APOD	0.648124944	3.568431728	2.514397755	0.015062575	0.074339893	-3.17495954	NA	not_sig	NA	other
SLCO2B1	0.648086397	6.902573528	3.483529866	0.00101391	0.015085329	-0.917201919	NA	FOXP3_high	SLCO2B1	other
GGH	-0.64786535	4.930798076	-2.90863592	0.005332046	0.039741498	-2.364201269	NA	FOXP3_low	GGH	other
FKBP11	-0.647629417	4.95068014	-2.478572982	0.016479813	0.078743528	-3.348304522	NA	not_sig	NA	other
KLRB1	-0.647550689	3.485750247	-3.291074105	0.001798841	0.020842463	-1.324046491	KLRB1	FOXP3_low	KLRB1	CD
PLVAP	0.64703668	5.596860732	2.997963805	0.004164382	0.034253143	-2.179411698	NA	FOXP3_high	PLVAP	other
SLC9A1	0.646916948	3.881932599	3.099789998	0.00312609	0.029056143	-1.839617644	NA	FOXP3_high	SLC9A1	other
CTSW	-0.646823165	4.25225784	-1.961336713	0.055215006	0.169789367	-4.320134075	NA	not_sig	NA	other
COL11A1	0.64643465	4.044759402	1.239216366	0.220840447	0.409030139	-5.354272161	NA	not_sig	NA	other
MUC16	-0.646382387	2.75919156	-1.595790543	0.116607777	0.273898538	-4.764222018	NA	not_sig	NA	other
CEACAM1	0.64597592	3.135552983	2.715620585	0.008963201	0.053834924	-2.71205445	NA	not_sig	NA	other
KLRC4-KLRK1	-0.645856043	5.338598483	-2.910895197	0.005299093	0.039583041	-2.379813412	NA	FOXP3_low	KLRC4-KLRK1	other
NFIA	0.645630686	5.55226452	4.329426264	6.85E-05	0.003889928	1.566053428	NA	FOXP3_high	NFIA	other
KIR2DL4	-0.645597084	1.884878971	-1.876339815	0.06623699	0.191771444	-4.287252809	NA	not_sig	NA	other
GATAD2B	0.645412701	5.115657786	3.59652991	7.19E-04	0.012596167	-0.579800591	NA	FOXP3_high	GATAD2B	other
ARHGEF17	0.64528811	4.168908667	3.42207452	0.00121982	0.016724917	-1.015893065	NA	FOXP3_high	ARHGEF17	other
PLAAT2	-0.644660187	0.529079822	-1.966199827	0.054634979	0.168672079	-4.112251419	NA	not_sig	NA	other
ZNF618	0.643728492	4.468198615	4.416818906	5.11E-05	0.003455887	1.850787738	NA	FOXP3_high	ZNF618	other
SLC35A4	0.642818222	4.957877693	3.716162272	4.96E-04	0.010072515	-0.237036172	NA	FOXP3_high	SLC35A4	other
NCF1	0.642153725	5.316681643	2.774838373	0.007659584	0.049254592	-2.711960527	NA	FOXP3_high	NCF1	other
SEZ6L2	0.642148726	1.358130878	3.203428106	0.002322308	0.024413462	-1.503013515	NA	FOXP3_high	SEZ6L2	other
KRT2	-0.641627642	6.192155515	-0.879911814	0.382963504	0.577107533	-5.865839148	NA	not_sig	NA	other
SORBS3	0.641410696	4.195150831	4.671597467	2.15E-05	0.002305962	2.642213029	NA	FOXP3_high	SORBS3	other
KIR3DL1	-0.641048886	0.125942779	-2.759836601	0.007972189	0.050331753	-2.54069711	NA	not_sig	NA	other
HBA2	0.640678753	3.699739415	1.648033298	0.105387722	0.257377534	-4.794046517	NA	not_sig	NA	other
NEXMIF	0.640631744	0.362448111	3.467945677	0.001062747	0.015443866	-0.830962959	NA	FOXP3_high	NEXMIF	other
PRR12	0.640103256	3.712568444	2.657416755	0.010440352	0.059202328	-2.877733623	NA	not_sig	NA	other
NFIX	0.639804743	4.647684603	4.014297747	1.93E-04	0.006320118	0.635377329	NA	FOXP3_high	NFIX	other
FAM102A	0.639114305	5.175421771	3.996775477	2.04E-04	0.00648525	0.569009049	NA	FOXP3_high	FAM102A	other
TNFRSF18	-0.637488652	2.866288891	-2.83622167	0.006494707	0.044188262	-2.417151099	NA	FOXP3_low	TNFRSF18	other
MAD2L1	-0.636827955	4.406504581	-5.078692647	5.25E-06	0.001421555	3.937509613	NA	FOXP3_low	MAD2L1	other
SH3PXD2A	0.636799614	6.914296161	4.367181754	6.04E-05	0.00373145	1.675471542	NA	FOXP3_high	SH3PXD2A	other
KDM5D	0.636280578	3.55945042	0.682313805	0.49807477	0.672569819	-5.806804451	NA	not_sig	NA	other
CNGB1	0.634933176	2.04248422	2.487895109	0.016099865	0.077575183	-3.145957282	NA	not_sig	NA	other
WASF2	0.634625242	7.119407926	4.602659389	2.73E-05	0.002584589	2.413101245	NA	FOXP3_high	WASF2	other
CXCL12	0.634471626	7.360274663	2.494059637	0.015852983	0.076668269	-3.36659304	NA	not_sig	NA	other
RCN1P2	-0.634228074	2.020005196	-1.81767138	0.07488902	0.207957592	-4.376037266	NA	not_sig	NA	other
IGHV3-38	-0.633429054	0.092949959	-2.760849627	0.007950715	0.050232152	-2.537759561	NA	not_sig	NA	other
LPAR5	0.633309503	2.432523137	4.573383182	3.01E-05	0.002700502	2.29358239	NA	FOXP3_high	LPAR5	other
SPP1	0.633014952	7.402887297	1.055223206	0.296211032	0.491770618	-5.692347909	NA	not_sig	NA	other
PLPP5	-0.632480644	4.549559046	-4.418889923	5.08E-05	0.003455887	1.857958533	NA	FOXP3_low	PLPP5	other
CNFN	0.632330931	5.161988426	1.840134394	0.071470108	0.201383999	-4.606182406	NA	not_sig	NA	other
H4C4	-0.632215057	5.278162498	-3.758690277	4.34E-04	0.009376707	-0.123506112	NA	FOXP3_low	H4C4	other
FKBP10	0.631874145	5.609278282	3.494124954	9.82E-04	0.014802522	-0.877636427	FKBP10	FOXP3_high	FKBP10	WH
GPR4	0.63135576	1.604177294	3.264713456	0.001943221	0.02184242	-1.351594254	GPR4	FOXP3_high	GPR4	WH
REEP4	0.630918021	4.014085772	3.979045671	2.16E-04	0.006645255	0.548395273	NA	FOXP3_high	REEP4	other
DIO2	0.630708855	7.556671494	1.940621638	0.05774523	0.17483859	-4.456528182	NA	not_sig	NA	other
AL669831.1	0.630530841	4.217428178	3.434775205	0.001174251	0.016348816	-0.987420293	NA	FOXP3_high	AL669831.1	other
ARHGEF15	0.629309628	2.555932024	3.066844214	0.00343202	0.030805218	-1.854429154	NA	FOXP3_high	ARHGEF15	other
TTYH3	0.62875534	6.139068663	4.230113137	9.52E-05	0.004536996	1.25503228	NA	FOXP3_high	TTYH3	other
AC068775.1	-0.628386048	0.96506638	-2.082248268	0.042266918	0.142176581	-3.912970422	NA	not_sig	NA	other
AC010422.5	-0.628032082	0.80103391	-1.49377419	0.141290083	0.308621513	-4.83462291	NA	not_sig	NA	other
ZFAND3	0.627867743	5.32346364	4.199802602	1.05E-04	0.004779821	1.173092453	NA	FOXP3_high	ZFAND3	other
CCDC9	0.627768664	3.382430801	3.522169351	9.02E-04	0.014194	-0.714392763	NA	FOXP3_high	CCDC9	other
CACNA1C	0.627576978	3.215643654	3.233190141	0.002130251	0.022973363	-1.462114005	NA	FOXP3_high	CACNA1C	other
CDC42EP1	0.627465105	3.935058408	4.119216588	1.37E-04	0.005329825	0.960214841	NA	FOXP3_high	CDC42EP1	other
FOXN1	0.627105593	1.327950148	2.56910426	0.013110629	0.068139462	-2.964613725	NA	not_sig	NA	other
GABRG2	0.627054099	2.737732381	3.64597783	6.17E-04	0.011549414	-0.364892178	NA	FOXP3_high	GABRG2	other
CDHR1	0.626474753	3.253084498	2.281381889	0.026658693	0.105629364	-3.62923991	NA	not_sig	NA	other
ZFP36L1	0.625977905	7.170710833	4.0555886	1.68E-04	0.005879633	0.728936323	ZFP36L1	FOXP3_high	ZFP36L1	WH
FARP1	0.625754505	5.175303688	4.480814607	4.12E-05	0.003143824	2.039022243	NA	FOXP3_high	FARP1	other
CDH5	0.625686796	5.439849932	3.87792876	2.98E-04	0.007631421	0.215119492	NA	FOXP3_high	CDH5	other
RPLP1	0.625653016	7.695933803	3.483020305	0.001015473	0.015095461	-0.909425	NA	FOXP3_high	RPLP1	other
ODC1	-0.625391811	6.497981495	-3.504725705	9.51E-04	0.014513646	-0.859823696	NA	FOXP3_low	ODC1	other
S100A11	0.625374577	6.693510863	2.324994209	0.024018099	0.099176946	-3.730631112	NA	not_sig	NA	other
TNS1	0.625206058	7.169767553	4.090713967	1.50E-04	0.005545834	0.834137946	NA	FOXP3_high	TNS1	other
DMTN	0.625146525	1.916246841	3.5515067	8.25E-04	0.013611801	-0.613700753	DMTN	FOXP3_high	DMTN	WH
AL645939.2	0.624889724	-0.154577722	2.094184708	0.041144918	0.139443244	-3.882344615	NA	not_sig	NA	other
POU2F3	0.62478193	1.796592204	2.309834496	0.024908277	0.101362874	-3.50012182	NA	not_sig	NA	other
COL3A1	0.624635573	12.4164915	2.259977292	0.028046715	0.109277363	-3.662812307	NA	not_sig	NA	other
IFI27L1	-0.624131539	2.564116028	-5.936200333	2.44E-07	6.97E-04	6.54625323	NA	FOXP3_low	IFI27L1	other
SPRY4	0.623549515	3.87111872	2.743935644	0.008316332	0.051632065	-2.695252801	NA	not_sig	NA	other
GRINA	0.623361078	6.546000557	3.47037004	0.001055005	0.015395729	-0.954486445	NA	FOXP3_high	GRINA	other
TRGV9	-0.623211638	1.325091194	-3.443655827	0.001143354	0.016049127	-0.89456368	NA	FOXP3_low	TRGV9	other
WIZ	0.62308259	3.904295236	3.880437621	2.96E-04	0.007626763	0.266424086	NA	FOXP3_high	WIZ	other
PCSK2	0.622947291	0.753558934	2.287586873	0.026267898	0.104881732	-3.52841186	NA	not_sig	NA	other
GPAM	-0.622370031	3.815012841	-3.894960054	2.82E-04	0.007460688	0.313360548	NA	FOXP3_low	GPAM	other
TRDV1	-0.622058916	0.539397102	-3.391856716	0.001335089	0.017627915	-1.026732246	NA	FOXP3_low	TRDV1	other
CHI3L1	0.621772541	7.098254326	1.757913358	0.084658893	0.224182321	-4.775287858	NA	not_sig	NA	other
EPN1	0.621630095	5.386732559	3.392498242	0.001332538	0.017621403	-1.150546477	NA	FOXP3_high	EPN1	other
CDC6	-0.621544615	3.589559032	-3.684861829	5.47E-04	0.010752288	-0.273460277	NA	FOXP3_low	CDC6	other
HSPA13	-0.621467371	6.699886668	-5.128919528	4.40E-06	0.001368482	4.109846028	NA	FOXP3_low	HSPA13	other
IGKV1D-37	-0.620714072	0.118044042	-2.214153207	0.031235571	0.116831373	-3.662263626	NA	not_sig	NA	other
FOLR3	-0.620657163	0.33822597	-2.356256171	0.022271512	0.094569709	-3.390362274	NA	not_sig	NA	other
BCL9	0.62021635	2.82587947	3.788638726	3.95E-04	0.008969776	0.025901147	NA	FOXP3_high	BCL9	other
PCP4L1	0.619811559	2.466807511	1.842708173	0.071086912	0.200716802	-4.364390132	NA	not_sig	NA	other
TP53INP1	-0.619630848	7.054494636	-3.651280918	6.07E-04	0.011450866	-0.449585973	NA	FOXP3_low	TP53INP1	other
OLFML2B	0.619480854	6.098783235	2.955945056	0.004680264	0.036612642	-2.293389621	NA	FOXP3_high	OLFML2B	other
AHDC1	0.619327017	3.433336289	3.533943169	8.70E-04	0.013999506	-0.685024298	NA	FOXP3_high	AHDC1	other
ATP8A1	-0.619254913	5.789799973	-4.268006189	8.40E-05	0.004278928	1.375369514	NA	FOXP3_low	ATP8A1	other
H3C10	-0.618269168	5.542677258	-3.44419162	0.001141515	0.016049127	-1.010801504	NA	FOXP3_low	H3C10	other
LGALS9	0.618222257	5.372425268	3.119557954	0.002955006	0.027804654	-1.867387341	NA	FOXP3_high	LGALS9	other
EEF1A1P13	-0.618130219	2.162133474	-2.303387833	0.025295652	0.102287477	-3.521864133	NA	not_sig	NA	other
P3H3	0.617392077	3.147009877	3.283637242	0.001838512	0.021058362	-1.331271403	NA	FOXP3_high	P3H3	other
LINGO1	0.617388176	0.247545702	3.678661022	5.58E-04	0.010872703	-0.276415251	NA	FOXP3_high	LINGO1	other
AMDHD1	0.61718878	1.611032508	2.480701445	0.016392355	0.078552101	-3.153375454	NA	not_sig	NA	other
ETV6	0.61688755	6.447735147	4.002474812	2.00E-04	0.006439474	0.568172086	NA	FOXP3_high	ETV6	other
IGHV4-55	-0.615552573	0.920255739	-1.54359881	0.128761901	0.291480179	-4.767424909	NA	not_sig	NA	other
PCDHAC2	0.615099428	-0.01387272	2.801923702	0.00712365	0.047010597	-2.446025192	NA	FOXP3_high	PCDHAC2	other
HOXA7	0.614297552	0.836943443	3.379572723	0.001384843	0.017993503	-1.058592101	NA	FOXP3_high	HOXA7	other
TNFSF12-TNFSF13	0.613884255	3.133300475	3.842023615	3.34E-04	0.008183993	0.172126712	NA	FOXP3_high	TNFSF12-TNFSF13	other
MYOCD	0.613452702	0.939959443	2.105420718	0.040112568	0.136920019	-3.871408612	NA	not_sig	NA	other
PCNX3	0.613410992	5.369874678	3.567339115	7.86E-04	0.013285903	-0.669191254	NA	FOXP3_high	PCNX3	other
ZBED3	0.612856082	1.305271445	3.65167247	6.06E-04	0.011450866	-0.347279917	NA	FOXP3_high	ZBED3	other
MAML3	0.61276982	3.671549149	5.261885992	2.75E-06	0.001353671	4.50161354	NA	FOXP3_high	MAML3	other
RAB3D	0.61231909	5.763073764	2.926537193	0.005076083	0.038531876	-2.359342858	NA	FOXP3_high	RAB3D	other
SASH1	0.612182269	6.592751636	5.022981283	6.38E-06	0.001425145	3.763189602	NA	FOXP3_high	SASH1	other
KRT1	0.612056379	8.24454653	1.033192714	0.306304503	0.502657125	-5.698340722	NA	not_sig	NA	other
KCTD10	0.611993979	6.204663583	4.474460473	4.21E-05	0.003176203	2.009381418	NA	FOXP3_high	KCTD10	other
MGAT4C	0.611900444	1.887643246	2.113348795	0.039397819	0.135506657	-3.873704645	NA	not_sig	NA	other
ZSWIM4	0.611878986	3.885617223	4.457869182	4.45E-05	0.00326903	1.979996945	NA	FOXP3_high	ZSWIM4	other
TCF7L2	0.611833549	3.334574352	3.77768308	4.09E-04	0.009114183	-0.010256305	NA	FOXP3_high	TCF7L2	other
ACOXL	-0.611351374	1.492533888	-2.393199042	0.020354666	0.089354948	-3.327814366	NA	not_sig	NA	other
TGFB1	0.611067691	5.259143737	3.455542662	0.001103206	0.015769957	-0.974863724	TGFB1	FOXP3_high	TGFB1	WH
BRD4	0.61055813	5.536440711	4.117077192	1.38E-04	0.005331412	0.919490445	NA	FOXP3_high	BRD4	other
NLRP10	-0.610473516	2.961559064	-1.545747003	0.128242382	0.290603467	-4.839320307	NA	not_sig	NA	other
RAB3IL1	0.609357428	2.864154963	4.114707558	1.39E-04	0.005348661	0.950541492	NA	FOXP3_high	RAB3IL1	other
TAGLN	0.608820487	6.943430541	2.745415166	0.008283743	0.051537325	-2.803113397	NA	not_sig	NA	other
H1-0	0.608496858	6.176179815	2.47495868	0.016629291	0.079159537	-3.411694211	NA	not_sig	NA	other
SAA2	0.6065752	2.06045884	2.161127336	0.035321563	0.126464931	-3.792044555	NA	not_sig	NA	other
SYNGAP1	0.605534444	2.626621458	3.544711091	8.42E-04	0.013786373	-0.635940154	NA	FOXP3_high	SYNGAP1	other
CTSG	0.605454966	2.650918382	2.568271171	0.013138542	0.068247658	-3.00248524	NA	not_sig	NA	other
PLSCR3	0.605425483	3.534781871	3.481150672	0.001021225	0.015142638	-0.829987641	NA	FOXP3_high	PLSCR3	other
CCL24	0.604818614	0.397111603	2.160129915	0.035402723	0.126570277	-3.765275701	NA	not_sig	NA	other
CD244	-0.604685859	3.694105921	-2.964505809	0.00457056	0.036152809	-2.155111144	NA	FOXP3_low	CD244	other
FP565260.3	0.604642452	2.278484455	3.996016894	2.04E-04	0.00648525	0.604229231	NA	FOXP3_high	FP565260.3	other
HHLA1	0.604509757	1.16810615	3.136937597	0.002811891	0.027019964	-1.665505398	NA	FOXP3_high	HHLA1	other
DLG4	0.604479533	2.919975416	4.649532907	2.32E-05	0.002363376	2.542427759	NA	FOXP3_high	DLG4	other
SLC2A3P1	0.604073015	-0.275932215	2.273236803	0.027179516	0.107109173	-3.548879909	NA	not_sig	NA	other
NR1D1	0.603882955	2.606883387	2.539298087	0.014143579	0.071595861	-3.06303316	NA	not_sig	NA	other
TSPAN11	0.60348131	4.576545002	2.622601536	0.011427259	0.062267932	-3.018110985	NA	not_sig	NA	other
IGHV3OR16-13	-0.603367399	-0.224755803	-2.228092083	0.03023326	0.114499328	-3.634786562	NA	not_sig	NA	other
ADCY9	-0.603366733	5.569582399	-2.92051016	0.005160957	0.038986054	-2.366696381	NA	FOXP3_low	ADCY9	other
RPS29	-0.602939587	8.065792342	-3.169396331	0.002561883	0.025771441	-1.738966049	NA	FOXP3_low	RPS29	other
NR2F2	0.602865306	3.813204221	3.73427571	4.69E-04	0.009763598	-0.143531639	NA	FOXP3_high	NR2F2	other
MANEA	-0.6023626	5.215738153	-4.155752091	1.22E-04	0.005041854	1.044775785	NA	FOXP3_low	MANEA	other
NOS1AP	0.602348418	0.612426944	4.084357054	1.53E-04	0.005585004	0.840835707	NA	FOXP3_high	NOS1AP	other
TXN2	0.60202447	3.989331522	2.99953041	0.004146215	0.034201924	-2.091962965	TXN2	FOXP3_high	TXN2	WH
NTN1	0.601554421	4.618357695	3.134611888	0.002830658	0.027141665	-1.795018824	NA	FOXP3_high	NTN1	other
ADGRE2	0.601049466	5.923214155	2.978905351	0.004391421	0.035423029	-2.236373723	NA	FOXP3_high	ADGRE2	other
SLAIN1	-0.600799807	3.253587356	-3.291237417	0.001797979	0.020842463	-1.313056326	NA	FOXP3_low	SLAIN1	other
NDUFA4L2	0.600457582	4.053814536	2.12187082	0.038641954	0.13387272	-4.013568435	NA	not_sig	NA	other
ZDHHC9	0.600305891	4.506563304	5.192886484	3.51E-06	0.001368482	4.311132993	NA	FOXP3_high	ZDHHC9	other
SLC34A2	0.600185194	1.065258855	2.732472126	0.008572863	0.052507255	-2.607028411	NA	not_sig	NA	other
CSNK1G3	-0.59965854	5.901823134	-3.323193803	0.001636618	0.019677761	-1.346117744	NA	FOXP3_low	CSNK1G3	other
UBE2T	-0.599645459	2.500933968	-5.12981708	4.38E-06	0.001368482	3.993816756	NA	FOXP3_low	UBE2T	other
HIF1AN	0.599327751	5.842699208	3.078802661	0.00331787	0.030171962	-1.982435198	NA	FOXP3_high	HIF1AN	other
PATL1	0.59910031	5.150191685	3.598026721	7.15E-04	0.01258487	-0.578452762	NA	FOXP3_high	PATL1	other
TTK	-0.598755569	3.9035927	-3.79364496	3.89E-04	0.008888383	0.021371727	NA	FOXP3_low	TTK	other
MYADM	0.598610353	4.763696314	2.529157175	0.014511526	0.072621238	-3.240586506	NA	not_sig	NA	other
NLRP7	-0.597957826	1.624706171	-2.260410884	0.028017973	0.109196129	-3.590965421	NA	not_sig	NA	other
TRGC2	-0.597343057	3.723841619	-3.279464156	0.001861134	0.021205536	-1.368501207	NA	FOXP3_low	TRGC2	other
CALD1	0.596687802	8.02739858	4.793564133	1.42E-05	0.001929039	3.024980592	NA	FOXP3_high	CALD1	other
ITPRIP	0.596640248	6.002258869	3.635223088	6.38E-04	0.01175954	-0.492913625	NA	FOXP3_high	ITPRIP	other
TFE3	0.596531828	5.140069271	5.013949106	6.58E-06	0.001425145	3.735600715	NA	FOXP3_high	TFE3	other
BCL3	0.595731383	3.802887749	2.842531415	0.006384753	0.0437006	-2.463647116	NA	FOXP3_high	BCL3	other
NID2	0.595262989	5.685322651	2.920940231	0.005154857	0.038986054	-2.370968818	NA	FOXP3_high	NID2	other
NATD1	0.594977962	3.27016035	4.046348976	1.74E-04	0.006005535	0.754624552	NA	FOXP3_high	NATD1	other
SLC9A3R2	0.594819591	2.781434717	3.478371863	0.001029833	0.015188	-0.814206077	NA	FOXP3_high	SLC9A3R2	other
FBRSL1	0.594608021	3.382156662	3.544305905	8.43E-04	0.013787894	-0.654288052	NA	FOXP3_high	FBRSL1	other
SYNPO2	0.593857078	5.573431038	2.877529165	0.005805549	0.041677869	-2.472253773	NA	FOXP3_high	SYNPO2	other
IL1R2	-0.593809504	5.11254944	-1.637936425	0.10748471	0.260239737	-4.928331589	NA	not_sig	NA	other
NPIPB9	0.593732633	2.356969137	2.151883459	0.036080032	0.128162319	-3.820388848	NA	not_sig	NA	other
P2RY13	0.593521305	4.45709973	3.163839975	0.002603141	0.025978316	-1.713593307	NA	FOXP3_high	P2RY13	other
SIK1B	0.593424026	5.497415766	2.037615567	0.046701485	0.151700101	-4.269250077	NA	not_sig	NA	other
TXK	-0.593391707	3.587170203	-2.44481992	0.017924233	0.083124096	-3.331063804	NA	not_sig	NA	other
ADAM12	0.593137334	6.328523568	2.30639159	0.025114496	0.1017638	-3.768473773	NA	not_sig	NA	other
PAK4	0.592269189	2.982633263	3.322922991	0.001637926	0.019677761	-1.225989857	NA	FOXP3_high	PAK4	other
ARF3	0.59219217	6.663186931	3.69248655	5.34E-04	0.010630269	-0.333673222	NA	FOXP3_high	ARF3	other
RGS13	-0.592084843	1.311207558	-3.514846824	9.22E-04	0.01431348	-0.70932173	NA	FOXP3_low	RGS13	other
MRPS36	-0.59185808	4.020814765	-4.463249258	4.37E-05	0.003241416	1.996507907	NA	FOXP3_low	MRPS36	other
ZFY	0.591839876	3.315911637	0.627022841	0.533393129	0.700114704	-5.814572952	NA	not_sig	NA	other
IGKV1-8	-0.591514177	1.301042534	-1.354480544	0.181451033	0.361740273	-5.018275816	NA	not_sig	NA	other
SHROOM4	0.591303007	3.70029831	4.402179775	5.37E-05	0.003535974	1.809529714	NA	FOXP3_high	SHROOM4	other
H4C6	-0.591287572	5.047878564	-4.537809062	3.40E-05	0.002895478	2.219857456	NA	FOXP3_low	H4C6	other
IGF1R	0.590778677	5.64458379	3.306434407	0.001719452	0.020265394	-1.386563878	NA	FOXP3_high	IGF1R	other
SPDYE16	0.5906764	2.667964757	3.610234527	6.89E-04	0.01240649	-0.460967376	NA	FOXP3_high	SPDYE16	other
ACE	0.590384003	4.72225392	3.35688764	0.001481382	0.018730176	-1.216802979	NA	FOXP3_high	ACE	other
SDK1	0.589946707	5.208492019	3.901708884	2.76E-04	0.007405283	0.288497747	NA	not_sig	NA	other
PLLP	-0.589387742	13.65792858	-3.063286577	0.003466684	0.03092039	-1.859898401	NA	not_sig	NA	other
ESAM	0.589234034	3.565001671	3.571253475	7.77E-04	0.013166075	-0.585605407	NA	not_sig	NA	other
ZBP1	-0.588782568	4.545240185	-2.685474536	0.009702467	0.056496001	-2.871739396	NA	not_sig	NA	other
OMA1	-0.588240761	4.09935637	-3.253322802	0.002008938	0.022298847	-1.453672255	NA	not_sig	NA	other
GABBR1	0.58790708	2.531066566	3.365536533	0.001443846	0.018437521	-1.104216027	NA	not_sig	NA	other
PCDHB13	0.587766009	1.442832535	3.996622287	2.04E-04	0.00648525	0.598713682	NA	not_sig	NA	other
IGLV2-5	-0.587490693	0.438276248	-2.447613111	0.017800507	0.082790247	-3.207214125	NA	not_sig	NA	other
GPX3	0.587152616	5.629794358	3.328384448	0.001611739	0.019547468	-1.327151414	NA	not_sig	NA	other
SOBP	0.586957547	1.82464446	3.09646465	0.003155767	0.029194702	-1.767826786	NA	not_sig	NA	other
HNRNPM	0.58653559	6.812974596	3.190291292	0.002412172	0.02499309	-1.702793747	NA	not_sig	NA	other
CST6	-0.586041456	3.47835529	-1.759955903	0.084308231	0.223627517	-4.569340582	NA	not_sig	NA	other
SPINK7	-0.586008553	1.19975211	-1.344040862	0.184781526	0.365655608	-5.030230689	NA	not_sig	NA	other
MSRB1	0.585976397	4.365947947	2.822275461	0.006743979	0.045237226	-2.54977439	NA	not_sig	NA	other
OASL	-0.585833973	6.113575608	-2.865454811	0.005999634	0.042368547	-2.515947112	NA	not_sig	NA	other
DOC2B	0.58576721	3.86376343	3.514659614	9.23E-04	0.01431348	-0.75462559	NA	not_sig	NA	other
RAI1	0.585381792	4.297603653	3.555696886	8.14E-04	0.013525956	-0.662535988	NA	not_sig	NA	other
SIDT2	0.585236415	5.439638319	3.803033218	3.78E-04	0.008771577	-0.002645904	NA	not_sig	NA	other
SOX12	0.584089738	1.580375895	4.10617786	1.43E-04	0.005399613	0.909074264	NA	not_sig	NA	other
PHC1P1	0.584025191	0.386392489	3.017446885	0.003943646	0.033220632	-1.949301682	NA	not_sig	NA	other
DDT	-0.583792598	4.235515649	-4.548578278	3.28E-05	0.00282749	2.259263795	NA	not_sig	NA	other
SPRY1	0.583716487	4.230766664	4.04124193	1.76E-04	0.006081194	0.725922328	NA	not_sig	NA	other
SLC12A7	0.583665469	5.527031318	3.83519507	3.41E-04	0.008269838	0.086315951	NA	not_sig	NA	other
ZNF516	0.583588474	4.888734567	4.301651602	7.51E-05	0.004082128	1.489760828	NA	not_sig	NA	other
HK2	0.583487451	7.839286251	3.233254924	0.002129849	0.022973363	-1.574724728	NA	not_sig	NA	other
NRSN2	0.583443472	2.263195774	4.478807203	4.15E-05	0.003143824	2.005484529	NA	not_sig	NA	other
SSR3	-0.583224955	7.98701968	-5.644020591	7.02E-07	9.64E-04	5.81679387	NA	not_sig	NA	other
CD276	0.583170926	5.995248901	4.128260908	1.33E-04	0.005295574	0.946906865	NA	not_sig	NA	other
RARA	0.58310457	3.929082539	3.655071721	6.00E-04	0.011390981	-0.372584595	NA	not_sig	NA	other
FTH1	0.58191565	11.05769482	2.513905162	0.015081289	0.074368779	-3.188945901	NA	not_sig	NA	other
AKAP5	-0.581769984	3.853946054	-3.202589027	0.002327952	0.02442279	-1.574008949	NA	not_sig	NA	other
MRGPRF	0.581583596	2.70042392	2.960298499	0.004624173	0.036454541	-2.113948408	NA	not_sig	NA	other
BARX2	0.581582013	1.838489015	2.787981521	0.00739504	0.048115524	-2.491104058	NA	not_sig	NA	other
GLIS2	0.581580414	2.575326559	3.070195134	0.003399668	0.030593441	-1.846536479	NA	not_sig	NA	other
GUCY1A2	0.581307854	4.819766341	2.878719666	0.005786732	0.041622176	-2.435854174	NA	not_sig	NA	other
CIC	0.581027097	5.588697548	3.479489999	0.001026361	0.015178264	-0.918395125	NA	not_sig	NA	other
GRIK3	0.581012816	-1.73E-04	3.051585998	0.003583012	0.031401785	-1.866975162	NA	not_sig	NA	other
FOSL2	0.580674065	7.894096937	4.086842624	1.52E-04	0.005569277	0.83071202	NA	not_sig	NA	other
ZDHHC8	0.580663147	3.013977328	3.597249376	7.17E-04	0.01258487	-0.500687051	NA	not_sig	NA	other
AC104452.1	0.580528364	1.553315091	2.458731307	0.01731562	0.081107765	-3.197971836	NA	not_sig	NA	other
VWF	0.580271892	7.995258475	3.559853171	8.04E-04	0.013420441	-0.691560267	NA	not_sig	NA	other
PLEK2	-0.580208472	3.848965768	-2.461419295	0.017200195	0.080832419	-3.314242582	NA	not_sig	NA	other
AADACL2	-0.578778865	2.358468443	-0.984619651	0.329379175	0.525980826	-5.445021447	NA	not_sig	NA	other
C1orf198	0.578506987	5.382813742	4.204751082	1.03E-04	0.004737316	1.1869253	NA	not_sig	NA	other
APOBEC3A	-0.578170697	6.003039555	-1.91995914	0.060367182	0.180196618	-4.502503973	NA	not_sig	NA	other
BAZ2A	0.57815004	6.782272949	3.542441693	8.48E-04	0.013829178	-0.7552751	NA	not_sig	NA	other
ISG20	-0.578035031	6.057223397	-2.865867409	0.005992903	0.042338478	-2.514551183	NA	not_sig	NA	other
